51, 15, 3
51, 140, 2
51, 101, 1
51, 10, 0
51, 9, 0
51, 28, 1
51, 79, 0
51, 86, 1
51, 5, 0
51, 13, 0
51, 10, 1
51, 4, 0
51, 597, 5
51, 10, 0
51, 61, 1
51, 22, 0
15, 140, 1
15, 101, 0
15, 10, 0
15, 9, 0
15, 28, 0
15, 79, 1
15, 86, 0
15, 5, 0
15, 13, 0
15, 10, 0
15, 4, 0
15, 597, 2
15, 10, 0
15, 61, 0
15, 22, 0
140, 101, 3
140, 10, 0
140, 9, 0
140, 28, 1
140, 79, 1
140, 86, 1
140, 5, 0
140, 13, 1
140, 10, 0
140, 4, 0
140, 597, 5
140, 10, 0
140, 61, 1
140, 22, 0
101, 10, 0
101, 9, 0
101, 28, 0
101, 79, 1
101, 86, 0
101, 5, 0
101, 13, 0
101, 10, 0
101, 4, 0
101, 597, 4
101, 10, 0
101, 61, 0
101, 22, 1
10, 9, 0
10, 28, 0
10, 79, 0
10, 86, 0
10, 5, 0
10, 13, 0
10, 10, 0
10, 4, 0
10, 597, 0
10, 10, 0
10, 61, 0
10, 22, 0
9, 28, 0
9, 79, 1
9, 86, 0
9, 5, 0
9, 13, 0
9, 10, 0
9, 4, 0
9, 597, 0
9, 10, 0
9, 61, 0
9, 22, 0
28, 79, 1
28, 86, 0
28, 5, 0
28, 13, 0
28, 10, 0
28, 4, 2
28, 597, 1
28, 10, 0
28, 61, 0
28, 22, 0
79, 86, 1
79, 5, 0
79, 13, 0
79, 10, 0
79, 4, 0
79, 597, 3
79, 10, 0
79, 61, 0
79, 22, 1
86, 5, 0
86, 13, 0
86, 10, 0
86, 4, 0
86, 597, 2
86, 10, 0
86, 61, 0
86, 22, 0
5, 13, 0
5, 10, 0
5, 4, 0
5, 597, 1
5, 10, 0
5, 61, 0
5, 22, 0
13, 10, 0
13, 4, 0
13, 597, 0
13, 10, 0
13, 61, 0
13, 22, 0
10, 4, 0
10, 597, 1
10, 10, 0
10, 61, 0
10, 22, 0
4, 597, 0
4, 10, 0
4, 61, 0
4, 22, 0
597, 10, 1
597, 61, 1
597, 22, 1
10, 61, 0
10, 22, 0
61, 22, 0
66, 79, 0
66, 2, 0
66, 29, 0
66, 1, 0
66, 3, 0
66, 89, 0
66, 158, 0
66, 1, 0
66, 4, 0
66, 23, 0
66, 14, 0
66, 28, 0
66, 9, 0
66, 10, 0
66, 16, 0
66, 24, 0
79, 2, 0
79, 29, 1
